val_loss,val_accuracy,val_iou,val_precision,val_recall,val_f1score,epoch,step,train_loss,train_accuracy,train_iou,train_precision,train_recall,train_f1score,test_loss,test_accuracy,test_iou,test_precision,test_recall,test_f1score
0.7513664960861206,0.8955408334732056,0.514297366142273,0.6343928575515747,0.6343928575515747,0.6343928575515747,0,80,,,,,,,,,,,,
,,,,,,0,80,0.7815839052200317,0.8374972343444824,0.3039335608482361,0.4312403202056885,0.4312403202056885,0.4312403202056885,,,,,,
0.6873079538345337,0.8699101209640503,0.4130306839942932,0.5446854829788208,0.5446854829788208,0.5446854829788208,1,161,,,,,,,,,,,,
,,,,,,1,161,0.6603638529777527,0.9024330377578735,0.5334873795509338,0.658515453338623,0.658515453338623,0.658515453338623,,,,,,
0.5507581830024719,0.9372304081916809,0.6701041460037231,0.7803066968917847,0.7803066968917847,0.7803066968917847,2,242,,,,,,,,,,,,
,,,,,,2,242,0.5879095792770386,0.9198068380355835,0.5995355844497681,0.7193243503570557,0.7193243503570557,0.7193243503570557,,,,,,
0.5064791440963745,0.9448440670967102,0.7038835287094116,0.806954026222229,0.806954026222229,0.806954026222229,3,323,,,,,,,,,,,,
,,,,,,3,323,0.5380899906158447,0.9297246932983398,0.6384520530700684,0.7540366649627686,0.7540366649627686,0.7540366649627686,,,,,,
0.4612081050872803,0.9528695344924927,0.7388819456100464,0.8350433111190796,0.8350433111190796,0.8350433111190796,4,404,,,,,,,,,,,,
,,,,,,4,404,0.49397942423820496,0.9369704723358154,0.6698959469795227,0.7793976068496704,0.7793976068496704,0.7793976068496704,,,,,,
0.4085943102836609,0.953691840171814,0.741106390953064,0.8379217386245728,0.8379217386245728,0.8379217386245728,5,485,,,,,,,,,,,,
,,,,,,5,485,0.4649296998977661,0.9389219880104065,0.6758649945259094,0.7862268686294556,0.7862268686294556,0.7862268686294556,,,,,,
0.44423437118530273,0.9505128860473633,0.7251543402671814,0.826795220375061,0.826795220375061,0.826795220375061,6,566,,,,,,,,,,,,
,,,,,,6,566,0.4281117618083954,0.9379703998565674,0.6691674590110779,0.782896876335144,0.782896876335144,0.782896876335144,,,,,,
0.3991836905479431,0.9491584897041321,0.7194722294807434,0.8220546841621399,0.8220546841621399,0.8220546841621399,7,647,,,,,,,,,,,,
,,,,,,7,647,0.4026845693588257,0.9407394528388977,0.679581880569458,0.7925880551338196,0.7925880551338196,0.7925880551338196,,,,,,
0.3511558175086975,0.955173671245575,0.7443596124649048,0.8431082963943481,0.8431082963943481,0.8431082963943481,8,728,,,,,,,,,,,,
,,,,,,8,728,0.39797309041023254,0.9414847493171692,0.6872304081916809,0.795196533203125,0.795196533203125,0.795196533203125,,,,,,
0.3915387690067291,0.9564509391784668,0.7538225054740906,0.8475780487060547,0.8475780487060547,0.8475780487060547,9,809,,,,,,,,,,,,
